ts	mode	cpu_percent	busy_cpus	mem_percent	mem_used_bytes	mem_used_gb	proc_count	provided_cpus	provided_mem_bytes	provided_mem_gb	gpu_busy	gpu_util_avg_pct	gpu_mem_percent	gpu_mem_used_bytes	gpu_mem_total_bytes	gpu_pergpu
2026-02-03T19:16:34	system	0.28	0.045	17.83	192864489472	179.619		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:16:36	system	0.28	0.045	17.91	193710387200	180.407		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:16:38	system	0.97	0.155	17.99	194554114048	181.193		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:16:40	system	6.19	0.991	18.08	195560878080	182.130		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:16:42	system	4.01	0.642	18.17	196460511232	182.968		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:16:44	system	5.28	0.844	18.26	197456736256	183.896		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:16:46	system	5.04	0.806	18.33	198181093376	184.571		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:16:48	system	5.30	0.848	18.41	199098732544	185.425		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:16:50	system	4.99	0.798	18.46	199663083520	185.951		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:16:52	system	6.90	1.104	18.54	200513699840	186.743		16	1081468456960	1007.196	0.020	2.00	1.27	547291136	42949672960	0:2%/521.94 MiB/40.00 GiB
2026-02-03T19:16:54	system	7.22	1.155	18.63	201484943360	187.647		16	1081468456960	1007.196	0.000	0.00	1.27	547291136	42949672960	0:0%/521.94 MiB/40.00 GiB
2026-02-03T19:16:56	system	6.78	1.085	18.62	201389948928	187.559		16	1081468456960	1007.196	0.000	0.00	1.27	547291136	42949672960	0:0%/521.94 MiB/40.00 GiB
2026-02-03T19:16:58	system	7.53	1.205	18.71	202377437184	188.479		16	1081468456960	1007.196	0.000	0.00	2.32	997720064	42949672960	0:0%/951.50 MiB/40.00 GiB
2026-02-03T19:17:00	system	69.71	11.154	18.67	201882329088	188.018		16	1081468456960	1007.196	0.700	70.00	2.41	1033371648	42949672960	0:70%/985.50 MiB/40.00 GiB
2026-02-03T19:17:02	system	97.78	15.644	18.73	202571763712	188.660		16	1081468456960	1007.196	0.900	90.00	2.41	1033371648	42949672960	0:90%/985.50 MiB/40.00 GiB
2026-02-03T19:17:04	system	87.73	14.037	18.80	203326177280	189.362		16	1081468456960	1007.196	0.460	46.00	2.41	1033371648	42949672960	0:46%/985.50 MiB/40.00 GiB
2026-02-03T19:17:06	system	74.68	11.949	18.83	203693436928	189.704		16	1081468456960	1007.196	0.920	92.00	2.41	1035468800	42949672960	0:92%/987.50 MiB/40.00 GiB
2026-02-03T19:17:08	system	98.28	15.725	18.91	204468363264	190.426		16	1081468456960	1007.196	0.420	42.00	2.41	1035468800	42949672960	0:42%/987.50 MiB/40.00 GiB
2026-02-03T19:17:10	system	98.81	15.810	18.94	204880539648	190.810		16	1081468456960	1007.196	0.910	91.00	2.41	1035468800	42949672960	0:91%/987.50 MiB/40.00 GiB
2026-02-03T19:17:12	system	100.00	16.000	18.98	205287698432	191.189		16	1081468456960	1007.196	0.910	91.00	2.41	1035468800	42949672960	0:91%/987.50 MiB/40.00 GiB
2026-02-03T19:17:14	system	97.51	15.601	19.06	206098169856	191.944		16	1081468456960	1007.196	0.890	89.00	2.41	1035468800	42949672960	0:89%/987.50 MiB/40.00 GiB
2026-02-03T19:17:16	system	94.49	15.118	18.59	200993701888	187.190		16	1081468456960	1007.196	0.800	80.00	2.41	1035468800	42949672960	0:80%/987.50 MiB/40.00 GiB
2026-02-03T19:17:18	system	99.94	15.990	18.59	201060581376	187.252		16	1081468456960	1007.196	0.910	91.00	2.41	1035468800	42949672960	0:91%/987.50 MiB/40.00 GiB
2026-02-03T19:17:20	system	95.69	15.311	18.68	202035478528	188.160		16	1081468456960	1007.196	0.740	74.00	2.41	1035468800	42949672960	0:74%/987.50 MiB/40.00 GiB
2026-02-03T19:17:22	system	92.54	14.806	18.76	202882134016	188.949		16	1081468456960	1007.196	0.090	9.00	2.41	1035468800	42949672960	0:9%/987.50 MiB/40.00 GiB
2026-02-03T19:17:24	system	97.28	15.565	18.33	198238076928	184.624		16	1081468456960	1007.196	0.900	90.00	2.41	1035468800	42949672960	0:90%/987.50 MiB/40.00 GiB
2026-02-03T19:17:26	system	27.18	4.349	18.39	198852538368	185.196		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:17:28	system	4.53	0.724	18.46	199691620352	185.977		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:17:30	system	6.11	0.978	18.50	200033611776	186.296		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:17:32	system	8.00	1.280	18.56	200694538240	186.911		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:17:34	system	6.72	1.075	18.61	201307123712	187.482		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:17:36	system	6.58	1.053	18.69	202178084864	188.293		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:17:38	system	6.41	1.025	18.75	202777186304	188.851		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:17:40	system	6.57	1.051	18.77	202962714624	189.024		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:17:42	system	5.37	0.859	18.80	203318521856	189.355		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:17:44	system	0.44	0.070	18.84	203744145408	189.752		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:17:46	system	4.00	0.640	18.63	201511985152	187.673		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:17:48	system	0.44	0.070	18.37	198659969024	185.017		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:17:50	system	0.41	0.065	17.92	193775104000	180.467		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:17:52	system	0.28	0.045	17.97	194289926144	180.947		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:17:54	system	0.34	0.055	18.00	194639966208	181.273		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
2026-02-03T19:17:56	system	0.25	0.040	18.08	195537199104	182.108		16	1081468456960	1007.196	0.000	0.00	1.27	543817728	42949672960	0:0%/518.62 MiB/40.00 GiB
